,Rented Bike Count,Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Weekday,time_day_night,time_day_morning,time_day_afternoon,time_day_evening,Seasons_Autumn,Seasons_Spring,Seasons_Summer,Seasons_Winter,Holiday_Holiday,Holiday_No Holiday,Functioning Day_No,Functioning Day_Yes
Weekday,-0.029357278654427395,8.797334836508628e-18,-0.003367631190834089,-0.007619862487711478,-0.021437594953979625,-0.026190918139109252,-0.013782572159109907,0.01058026384713168,-0.01777046251496732,-0.011670285748641537,1.0,1.6737044122083136e-18,1.0166945731835035e-17,-7.072042056836444e-18,2.421053160139153e-18,-0.0007902592991145283,-0.0007960434813819769,0.0023621725045314757,-0.0007844750002884822,-0.04464398941290779,0.04464398941290772,-0.018626471996160396,0.018626471996160503
time_day_night,-0.3705013892280913,-0.7506518906054712,-0.11607184886085115,0.2621315566008567,-0.26337817952982173,-0.056710733048918015,0.014852339223080576,-0.3782404728647202,-0.017485714555365274,-0.0015695106950825728,1.6737044122083136e-18,1.0,-0.37047928681747333,-0.3333333333333319,-0.29617443887954575,-6.042471638358546e-16,3.4581233471656826e-17,-4.889233652435222e-16,1.070328050585746e-15,8.339049126020475e-17,-8.069754570636345e-17,0.006211032543697803,-0.006211032543697815
time_day_morning,-0.07800862668318863,-0.2317508142330862,-0.05221580814078264,0.052273503571939654,-0.11777607806564436,-0.07751019707911584,-0.01919050405387219,0.1980015674567861,0.015428880019923883,0.04054323937168666,1.0166945731835035e-17,-0.37047928681747333,1.0,-0.3704792868174736,-0.32917948466897895,6.507783969659596e-16,-7.229500461903897e-16,1.1882787487093988e-15,-1.1232111505700977e-15,-1.0432888018585616e-16,1.0410955814264959e-16,-0.0014502472104133137,0.0014502472104133107
time_day_afternoon,0.24851488292079646,0.3336230624913202,0.17130022419735702,-0.34969648299396033,0.3675337233110409,0.09217051702783291,-0.016114005823750867,0.4696495418313385,-0.0018052408278008017,-0.023603026222206766,-7.072042056836444e-18,-0.3333333333333319,-0.3704792868174736,1.0,-0.2961744388795468,-3.0294390346995086e-16,4.798567455516359e-16,3.156464439201425e-17,-2.0286614598554292e-16,-4.645383883230191e-17,4.185154207793316e-17,-0.0025574839885815835,0.002557483988581596
time_day_evening,0.21737348060962483,0.70402569123083,-0.0004455714996512887,0.03485913369400261,0.020762638477390804,0.04894199304383863,0.02282343302999589,-0.3190682903477385,0.0033003957582889527,-0.018536745798872087,2.421053160139153e-18,-0.29617443887954575,-0.32917948466897895,-0.2961744388795468,1.0,-4.2596346538921573e-16,4.589169426090321e-17,1.716536238349288e-16,2.1054999125428116e-16,-2.170022588347638e-17,1.5151423800750207e-17,-0.0022723841557848214,0.002272384155784817
Seasons_Autumn,0.10275303702632482,1.9914066415815395e-15,0.05972825304695006,0.028366504206024955,-0.1280092738087574,0.11741334423034418,0.06287828765718147,-0.031374282919089204,-0.013246550650360917,-0.024742182277455536,-0.0007902592991145283,-6.042471638358546e-16,6.507783969659596e-16,-3.0294390346995086e-16,-4.2596346538921573e-16,1.0,-0.33454766643816464,-0.3345476664381655,-0.3296858612178092,0.014984582219440296,-0.014984582219440892,0.2537183315043597,-0.25371833150435685
Seasons_Spring,0.02288821825497101,-1.159916794685319e-15,0.0079596838305569,0.015694160310915327,0.08385451270650769,-0.187498289631516,0.0020558881541495296,0.07997416167505618,0.01759519134351376,-0.09978516095755055,-0.0007960434813819769,3.4581233471656826e-17,-7.229500461903897e-16,4.798567455516359e-16,4.589169426090321e-17,-0.33454766643816464,1.0,-0.33699633699633663,-0.33209894653508054,-0.04479057462566428,0.04479057462566465,-0.03841274521138457,0.03841274521138295
Seasons_Summer,0.2965493520455036,8.578101504669502e-16,0.6658462321283944,0.1925948923037995,-0.06469790179851537,0.06195791573012868,0.652377816955233,0.12840171155965185,0.053928172822470956,-0.09978516095755072,0.0023621725045314757,-4.889233652435222e-16,1.1882787487093988e-15,3.156464439201425e-17,1.716536238349288e-16,-0.3345476664381655,-0.33699633699633663,1.0,-0.33209894653508026,-0.07393239234111394,0.07393239234111394,-0.10837026039885453,0.10837026039885357
Seasons_Winter,-0.4249250848754083,-1.697334669556633e-15,-0.7387195745089704,-0.23829522946578346,0.10918649124237069,0.00861622366897611,-0.7223663745172646,-0.17842024698998357,-0.05875456363006335,0.22587450037281592,-0.0007844750002884822,1.070328050585746e-15,-1.1232111505700977e-15,-2.0286614598554292e-16,2.1054999125428116e-16,-0.3296858612178092,-0.33209894653508054,-0.33209894653508026,1.0,0.1045573965088933,-0.10455739650889312,-0.10679537242146052,0.10679537242146042
Holiday_Holiday,-0.072337566943315,-1.3914864368407556e-16,-0.05593084097089329,-0.050277646340957605,0.023016771111451454,0.03177280808782386,-0.06675909555964446,-0.0050772546486384925,-0.01426911025264864,-0.012590722095085303,-0.04464398941290779,8.339049126020475e-17,-1.0432888018585616e-16,-4.645383883230191e-17,-2.170022588347638e-17,0.014984582219440296,-0.04479057462566428,-0.07393239234111394,0.1045573965088933,1.0,-1.0000000000000004,0.02762444846670621,-0.027624448466706388
Holiday_No Holiday,0.07233756694331478,1.2890866996619657e-16,0.05593084097089283,0.050277646340957736,-0.02301677111145153,-0.031772808087824386,0.06675909555964421,0.005077254648638321,0.014269110252648643,0.012590722095085364,0.04464398941290772,-8.069754570636345e-17,1.0410955814264959e-16,4.185154207793316e-17,1.5151423800750207e-17,-0.014984582219440892,0.04479057462566465,0.07393239234111394,-0.10455739650889312,-1.0000000000000004,1.0,-0.027624448466706468,0.02762444846670668
Functioning Day_No,-0.20394272244857922,-0.005439377208461687,0.05016975725412697,0.020799955005270425,-0.00503693774548586,0.026000027241935342,0.05283731410905777,0.0076651289312270245,-0.0020545731924427983,-0.032088609547791316,-0.018626471996160396,0.006211032543697803,-0.0014502472104133137,-0.0025574839885815835,-0.0022723841557848214,0.2537183315043597,-0.03841274521138457,-0.10837026039885453,-0.10679537242146052,0.02762444846670621,-0.027624448466706468,1.0,-1.0
Functioning Day_Yes,0.20394272244857878,0.0054393772084616885,-0.050169757254128006,-0.02079995500527071,0.005036937745485467,-0.026000027241935352,-0.05283731410905894,-0.007665128931227528,0.002054573192442602,0.032088609547791656,0.018626471996160503,-0.006211032543697815,0.0014502472104133107,0.002557483988581596,0.002272384155784817,-0.25371833150435685,0.03841274521138295,0.10837026039885357,0.10679537242146042,-0.027624448466706388,0.02762444846670668,-1.0,1.0
